"region","life_exp_quartiles","region_median_gdp","region_median_schooling"
"Africa","1st","1176.0","11.8"
"Africa","2nd","457.3","9.9"
"Africa","3rd","422.0","8.8"
"Africa","4th","430.0","8.6"
"Americas","1st","5417.0","14.7"
"Americas","2nd","1626.0","13.0"
"Americas","3rd","1974.8","12.6"
"Americas","4th","2262.0","12.1"
"Asia","1st","15476.5","13.2"
"Asia","2nd","2041.8","12.7"
"Asia","3rd","1292.0","11.4"
"Asia","4th","472.8","10.2"
"Europe","1st","31783.0","16.1"
"Europe","2nd","21774.5","16.3"
"Europe","3rd","5836.5","14.7"
"Europe","4th","4149.5","14.8"
"Oceania","1st","9047.0","19.2"
"Oceania","2nd","2101.3","12.6"
"Oceania","3rd","1755.5","12.7"
"Oceania","4th","801.5","9.1"
