"region","mortality_quartiles","region_median_gdp","region_median_schooling"
"Africa","1st","888.5","9.8"
"Africa","2nd","347.0","8.5"
"Africa","3rd","559.0","9.0"
"Africa","4th","1176.0","11.8"
"Americas","1st","2262.0","12.5"
"Americas","2nd","1498.5","13.0"
"Americas","3rd","2517.8","12.9"
"Americas","4th","5417.0","14.7"
"Asia","1st","470.5","10.4"
"Asia","2nd","607.0","10.8"
"Asia","3rd","1826.5","12.0"
"Asia","4th","17793.8","13.4"
"Europe","1st","5836.5","15.0"
"Europe","2nd","5445.5","14.7"
"Europe","3rd","28942.5","16.3"
"Europe","4th","29281.0","15.9"
"Oceania","1st","1327.5","11.9"
"Oceania","2nd","400.8","10.1"
"Oceania","3rd","2101.3","12.6"
"Oceania","4th","9047.0","19.2"
