"region","year","status","median_life_exp","life_exp_diff","total_mortality","mortality_rolling_total","median_gdp","median_schooling"
"Africa",2007,"Developing","52.0","0","12109","12109","317.5","7.8"
"Africa",2008,"Developing","54.8","2.8","13086","25195","378.0","8.1"
"Africa",2009,"Developing","54.1","-0.7","12412","37607","365.5","8.3"
"Africa",2010,"Developing","53.5","-0.6","11663","49270","433.0","8.3"
"Africa",2011,"Developing","54.0","0.5","14444","63714","454.5","8.6"
"Africa",2012,"Developing","55.0","1.0","12007","75721","370.5","8.9"
"Africa",2013,"Developing","56.2","1.2","12560","88281","472.5","9.2"
"Africa",2014,"Developing","56.9","0.7","11899","100180","397.0","9.4"
"Africa",2015,"Developing","57.8","0.9","12852","113032","577.0","9.7"
"Africa",2016,"Developing","58.8","1.0","11844","124876","541.5","9.8"
"Africa",2017,"Developing","59.2","0.4","11914","136790","654.5","10.0"
"Africa",2018,"Developing","59.4","0.2","11970","148760","693.0","10.1"
"Africa",2019,"Developing","60.0","0.6","10783","159543","838.0","10.3"
"Africa",2020,"Developing","62.6","2.6","10785","170328","834.0","10.4"
"Africa",2021,"Developing","61.4","-1.2","10997","181325","826.0","10.6"
"Africa",2022,"Developing","62.3","0.9","10260","191585","784.0","10.6"
"Americas",2007,"Developing","72.9","0","4024","4024","1601.0","11.7"
"Americas",2008,"Developing","72.5","-0.4","3484","7508","2160.0","11.8"
"Americas",2009,"Developing","73.0","0.5","3485","10993","1666.0","12.0"
"Americas",2010,"Developing","72.7","-0.3","2839","13832","1999.5","12.3"
"Americas",2011,"Developing","72.5","-0.2","3193","17025","2435.0","12.4"
"Americas",2012,"Developing","72.8","0.3","3297","20322","3110.5","12.7"
"Americas",2013,"Developing","74.0","1.2","3093","23415","3837.0","12.6"
"Americas",2014,"Developing","74.0","0.0","3324","26739","2328.0","12.8"
"Americas",2015,"Developing","73.9","-0.1","3811","30550","2576.0","12.8"
"Americas",2016,"Developing","73.8","-0.1","3195","33745","4259.0","12.8"
"Americas",2017,"Developing","74.0","0.2","3763","37508","4344.0","12.9"
"Americas",2018,"Developing","74.9","0.9","3336","40844","4516.0","13.0"
"Americas",2019,"Developing","74.9","0.0","3409","44253","5969.0","13.2"
"Americas",2020,"Developing","74.7","-0.2","3360","47613","3944.0","13.2"
"Americas",2021,"Developing","74.8","0.1","3709","51322","4856.0","13.2"
"Americas",2022,"Developing","75.0","0.2","3270","54592","4966.0","13.3"
"Asia",2007,"Developed","79.7","0","152","5433","31163.0","13.5"
"Asia",2007,"Developing","71.3","-8.4","5281","5433","674.0","10.8"
"Asia",2008,"Developed","80.1","8.8","148","10515","27712.5","13.7"
"Asia",2008,"Developing","71.5","-8.6","4934","10515","714.0","10.9"
"Asia",2009,"Developed","80.4","8.9","81","15825","17253.0","13.7"
"Asia",2009,"Developing","71.3","-9.1","5229","15825","828.0","11.0"
"Asia",2010,"Developed","80.6","9.3","80","21226","13531.0","13.8"
"Asia",2010,"Developing","71.6","-9.0","5321","21226","980.0","11.3"
"Asia",2011,"Developed","80.9","9.3","139","27041","20217.0","13.8"
"Asia",2011,"Developing","69.1","-11.8","5676","27041","650.0","11.5"
"Asia",2012,"Developed","82.0","12.9","138","32098","33544.0","13.8"
"Asia",2012,"Developing","72.4","-9.6","4919","32098","1578.0","11.6"
"Asia",2013,"Developed","84.7","12.3","134","37456","34507.0","14.4"
